productId;name;description;price;status;brand;category;photos
_drzrSCCpBIsvq0xiZDjmaXNt1taXGXQ3tft53UA;;普拉达Prada 乐福鞋 黑色 新款普拉达亮面皮乐福鞋 英伦风套脚可以商务跟通勤 饰有烫Prada Milano微标德比鞋ken同款 材料是进口开边珠 大底真皮大底 牛皮内里 牛皮垫脚全套包装 Size：39 40 41 42 43 44 45 46 编码：N65-8750;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175663950_9770_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175661322_7751_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175664122_3456_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175664060_8035_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175664055_4552_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175661324_9150_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175661270_3706_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175661307_9051_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251231/i1767175661280_2247_0_8.jpg""]"
_dqDrS1zOG571NjOm50Mjc3jHLuXiQyz5bsGKQwQ;;巴黎世家Balenciaga 德比鞋 加大圆头 20毫米鞋弓 4孔眼系带鞋面 外底外侧饰有镌刻Balenciaga标识的做旧铭牌 黑色鞋底 Size：39 40 41 42 43 44 45 46 编码：N75-9750;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999747855_1847_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999745740_6499_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999747907_4429_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999745789_1612_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999745795_9420_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999747957_7445_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999747921_2912_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999745654_364_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251229/i1766999745797_8670_0_8.jpg""]"
_doNrSr9QrwsLpwvEbPJtS0QJhNQp17hnSSJlskA;;巴黎世家Balenciaga 6XL 运动老爹鞋 原版开模手工做旧效果 鞋舌饰以Balenciaga标识压纹 两侧均饰以橡胶材质3B sports icon艺术作品 鞋面饰以银色BB标识金属配件 后部饰以尺码刺绣 后部及鞋舌设有拉袢 Size：35 36 37 38 39 40 41 42 43 44 45 偏大一码！！ 编码：N65-8700;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915269847_9651_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915269711_3414_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915259216_2730_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915269657_79_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915259216_4976_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915259216_2283_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915259216_1783_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915259215_2002_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251228/i1766915269816_3801_0_8.jpg""]"
_dfprSVDfKPugNnCvYxlaTLIB4jjVORlLZocssqA;;路易威登LV Trainer 运动鞋 魔术贴灰色 素面牛皮和Monogram牛皮革，可调节魔术贴鞋带点缀 Monogram花卉 大号Monogram花卉绽放侧面 不对称Louis 和Vuitton 标识点睛后部 橡胶外底点缀 Monogram花卉 Size：38 39 40 41 42 43 44 45;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587365475_8368_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587366732_3268_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587366738_2247_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587366761_6181_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587365587_9488_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587365599_4744_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587366822_4490_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587365477_5550_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587365571_4222_0_8.jpg""]"
_diirSa6f1XV9ZUvqFixDF-Qlb3G90WQA1NVDW9w;;路易威登LV Trainer 运动鞋 魔术贴黑色 素面牛皮和Monogram牛皮革，可调节魔术贴鞋带点缀 Monogram花卉 大号Monogram花卉绽放侧面 不对称Louis 和Vuitton 标识点睛后部 橡胶外底点缀 Monogram花卉 Size：38 39 40 41 42 43 44 45;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587179508_2236_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587180617_658_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587179478_2927_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587179420_9120_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587180526_3680_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587179390_1270_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587179279_1708_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587180523_7874_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766587180442_8850_0_8.jpg""]"
_dlTrSUe7cUmaSVNbOVtAQF8jGhnmZec7OgbOzlQ;;路易威登LV Trainer运动鞋 织物拼接小牛皮 复古撞色低调有高级感 侧面抒写路易威登手写体标识，科技橡胶外底绽放Monogram花卉 橡胶外底饰有 Monogram 花卉 后尾#54标记 Size：38 39 40 41 42 43 44 45;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586903607_8575_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586903614_9165_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586903665_6375_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586905034_6594_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586905027_3402_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586904989_6730_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586903438_7421_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586904992_6246_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586903605_9050_0_8.jpg""]"
_dwvrSFyhvjWaWrFwq357zqsfmVrsvAlUocPVclQ;;路易威登LV Trainer运动鞋 漆皮海蓝色 复古高级 拿到手就被细节惊艳，漆皮有横竖条纹感 科技橡胶外底绽放Monogram花卉 橡胶外底饰有 Monogram 花卉 后尾#54标记 Size：38 39 40 41 42 43 44 45;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586457132_5860_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586456984_6379_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586455179_8856_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586455284_1059_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586455290_5380_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586457131_2160_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586457149_5440_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586455329_9339_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251224/i1766586455369_5871_0_8.jpg""]"
_daarSbd30jh_7CYXJQSzmQELiAix9izdXqZvRIQ;;阿玛尼板鞋 简约又有层次感 白色 纯牛皮白色 网眼拼接 低帮设计轻便透气 橡胶鞋底抓地力强，鞋侧品牌标识低调彰显奢华 复古时髦，轻松打造时尚OOTD 线条简洁 鞋舌正面饰有Emporio Armani 标志 Size：39 40 41 42 43 44 45 编码：N64-6760;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497703868_6643_0_8.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497704979_8036_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497703890_645_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497703743_4563_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497704916_7507_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497703844_5806_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497704986_6351_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497704899_8778_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497703912_1433_0_7.jpg""]"
_da8rSClbA0DYZbnAJTbAJlPfWFutCTey3F9YfLg;;阿玛尼板鞋 简约又有层次感 灰色 白色牛皮灰色拼接 网眼拼接 低帮设计轻便透气 橡胶鞋底抓地力强，鞋侧品牌标识低调彰显奢华 复古时髦，轻松打造时尚OOTD 线条简洁 鞋舌正面饰有Emporio Armani 标志 Size：39 40 41 42 43 44 45 编码：N64-6760;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497303943_7545_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497305009_1175_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497303764_9266_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497305046_8782_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497303806_1313_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497304982_2384_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497305024_179_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497303915_688_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497303877_1610_0_8.jpg""]"
_dpQrSmCBoUHGRkJK-LD5UwKGg6US0de5O5t3DqA;;阿玛尼板鞋 简约又有层次感 蓝色 白色牛皮蓝色拼接 网眼拼接 低帮设计轻便透气 橡胶鞋底抓地力强，鞋侧品牌标识低调彰显奢华 复古时髦，轻松打造时尚OOTD 线条简洁 鞋舌正面饰有Emporio Armani 标志 Size：39 40 41 42 43 44 45 编码：N64-6760;;;;;"[""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497013959_795_0_0.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497013877_7054_0_1.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497012639_8070_0_2.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497012713_4449_0_3.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497013960_3236_0_4.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497012725_1927_0_5.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497012754_8413_0_6.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497012720_55_0_7.jpg"", ""https://xcimg.szwego.com/img/8e0ce73c/20251223/i1766497013947_9758_0_8.jpg""]"
