productId;name;description;price;status;brand;category;photos
_doZrS6pHCtWcNaa-XxFB8HseCjum8INyfKEmgRQ;;【中Caro羊米】❣️现货❣️ 二零二五秋季成衣系列新品，柔軟廓形融合时尚气质与典雅魅力。采用奢华黑色羊皮革精心制作，饰以超大藤格纹缉面线，翻盖饰以金色饰面金属旋钮式 CD 扣环，中号款式，搭配可拆卸的 CD 鍵环肩带，可手提、肩背或斜挎，点缀日装或晚装造型。 尺寸：25×16× 9厘米（长×高×宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728650689_5463_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728651665_738_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761729105622_6903_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728650682_5741_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728651574_4826_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728650615_9761_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728650632_5762_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728650672_3784_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761728664235_4491_0_8.jpg""]"
_dMWrS3k5SDLIvlb6x7aO1DyHjQCQutcRx_P3C1w;;【中Caro黑】❣️现货❣️ 二零二五秋季成衣系列新品，柔軟廓形融合时尚气质与典雅魅力。采用奢华黑色羊皮革精心制作，饰以超大藤格纹缉面线，翻盖饰以金色饰面金属旋钮式 CD 扣环，中号款式，搭配可拆卸的 CD 鍵环肩带，可手提、肩背或斜挎，点缀日装或晚装造型。 尺寸：25×16× 9厘米（长×高×宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724895885_3982_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724895910_9787_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724970682_2775_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724895802_5771_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724898455_2837_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724993591_569_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724895815_5743_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724898547_1080_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761724898518_3139_0_8.jpg""]"
_dfVrSv4B41gXuaiPJU4zhQqC-YQ_6kN_dcx60-A;;【中Caro羊白】❣️现货❣️ 二零二五秋季成衣系列新品，柔軟廓形融合时尚气质与典雅魅力。采用奢华黑色羊皮革精心制作，饰以超大藤格纹缉面线，翻盖饰以金色饰面金属旋钮式 CD 扣环，中号款式，搭配可拆卸的 CD 鍵环肩带，可手提、肩背或斜挎，点缀日装或晚装造型。 尺寸：25×16× 9厘米（长×高×宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721827633_8483_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761722008829_5969_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721905925_841_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721827547_6689_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721827539_2411_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721827560_1301_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761722105082_3348_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721826125_7022_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251029/i1761721826125_3456_0_2.jpg""]"
_dsQrSlJlpDWNwMHVO-w_tR8LHiyIWpwkUbyA3wg;;【𝐒𝐢𝐠𝐧𝐚𝐭𝐮𝐫𝐞•小水桶】 ❣️现货❣️ 经典重塑，摩登演绎 Signature小水桶包将品牌经典元素融入现代设计。立体圆润的桶型包身，搭配复古金属“DIOR”烫金，细节处尽显奢华格调。匠心工艺，永恒珍藏看似小巧，却暗藏容量。日常随身物件轻松收纳，手机、口红、卡包皆可妥帖安放。可调节肩带设计，手提、斜挎或单肩背戴，随心切换不同场合的优雅姿态。 尺寸：21 x 19 x 11厘米（长x高x 高）;;;;;"[""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_3252_0"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_1081_1"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_2027_2"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_5978_3"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_4830_4"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_7672_5"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_3715_6"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908212_8696_7"", ""https://xcimg.szwego.com/normal/a23677e9/20251228/i1766908213_5441_8""]"
_d86rSzmnL_FlR3RR9FgnShbuWFNH0qQieQ65UqQ;;【𝐃-𝐣𝐨𝐲超mini漆酒红】 超迷你 D-Joy真的是可爱坏了😍 手机 14pro,纸巾口红粉饼都能放得下起搭配方式也非常丰富，以手拎，单肩，斜挎一包打造三种不同的风格～ 尺寸：16*9*5cm;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435938199_3116_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435935665_6318_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435935665_5210_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435935665_9812_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435955055_6532_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435955019_6569_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435935665_9462_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435935665_6245_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251014/i1760435987416_6684_0_8.jpg""]"
_dtarS3ECK4inPFeL7tqF3uYwT_gtIXjZ0kn9Czw;;【Joy-超mini漆黑】 超迷你 D-Joy真的是可爱坏了😍 手机 14pro,纸巾口红粉饼都能放得下起搭配方式也非常丰富，以手拎，单肩，斜挎一包打造三种不同的风格～ 尺寸：16*9*5cm;;;;;"[""https://xcimg.szwego.com/20230827/i1693105468_447_0.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_5119_1.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_3698_2.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_9892_3.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_2611_4.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_6899_5.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_219_6.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_3781_7.jpg"", ""https://xcimg.szwego.com/20230827/i1693105468_5606_8.jpg""]"
_dAXrS3unZsFmrr-FAf8ZLDy62LhL5-gVlkOsQzw;;【𝐃-𝐣𝐨𝐲𝟏𝟗羊黑】❣️现货❣️ 清新自然的白色藤格纹D-JOY手袋，以优美曲线呈现复古摩登风尚，彰显极致当代风格～ 尺寸：19x 10.5x 5.5 厘米（长x高x宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853195465_4286_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853195465_2547_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853195465_3903_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853195465_8570_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853197587_888_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853386865_1276_0_10.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853197589_6371_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853284040_1881_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251111/i1762853197614_5900_0_7.jpg""]"
_dmLrSq7zEK7K_z08Al_qsCKUoha9cLrzTbKkxVA;;【𝐃-𝐣𝐨𝐲𝟏𝟗羊白】❣️现货❣️ 清新自然的白色藤格纹D-JOY手袋，以优美曲线呈现复古摩登风尚，彰显极致当代风格～ 尺寸：19x 10.5x 5.5 厘米（长x高x宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757829003_5595_0_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757868627_5009_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757933699_8270_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762758005020_3542_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757867659_6372_0_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757868476_223_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757867699_3860_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757867717_9721_0_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251110/i1762757867739_931_0_3.jpg""]"
_dvJrSLBFAKpy6OZIU8LT6QVaeRAoyVDXO2-Qfmg;;【𝐃-𝐣𝐨𝐲𝟏𝟗羊米】❣️现货❣️ 清新自然的白色藤格纹D-JOY手袋，以优美曲线呈现复古摩登风尚，彰显极致当代风格～ 尺寸：19x 10.5x 5.5 厘米（长x高x宽）;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584238439_7988_0_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584238439_8466_0_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584323884_6852_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584404858_1507_0_9.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584239659_8485_0_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584265511_5639_0_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584239820_2637_0_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584238440_118_0_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20251201/i1764584238439_4062_0_6.jpg""]"
_dkArSfF0Tg2lSdDBMu5EzRy8LoDnZu9sbn9knRQ;;【𝐃-𝐉𝐨𝐲𝟐𝟐羊奶茶金】❣️现货❣️ 以羊皮制作，配搭 Cannage 藤格纹图案缝线，缀以优雅的淡金色金属吊饰，散发精致而隽永的气质。 尺寸：𝟐𝟐*𝟏𝟐*𝟔;;;;;"[""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_7851_0.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_878_4.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_8217_3.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_2563_2.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_7734_1.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_7888_5.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_1934_8.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_5175_7.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997593_5592_6.jpg"", ""https://xcimg.szwego.com/img/a23677e9/20240321/i1710997596_50_0.jpg""]"
